Cluster,Agency,Year,PT/FT,Gender,Headcount
Premier & Cabinet,Premier & Cabinet Agency 4,2015,Full-Time,Female, 51 
Premier & Cabinet,Premier & Cabinet Agency 5,2015,Full-Time,Female, 18 
Premier & Cabinet,Premier & Cabinet Agency 6,2015,Full-Time,Female, 9 
Premier & Cabinet,Premier & Cabinet Agency 7,2015,Full-Time,Female, 35 
Premier & Cabinet,Premier & Cabinet Agency 8,2015,Full-Time,Female, 267 
Premier & Cabinet,Premier & Cabinet Agency 9,2015,Full-Time,Female, 131 
Transport,Transport Agency 1,2015,Full-Time,Female, 439 
Transport,Transport Agency 2,2015,Full-Time,Female, 50 
Transport,Transport Agency 3,2015,Full-Time,Female," 1,439 "
Transport,Transport Agency 4,2015,Full-Time,Female, 340 
Transport,Transport Agency 5,2015,Full-Time,Female," 1,822 "
Transport,Transport Agency 6,2015,Full-Time,Female," 1,477 "
Treasury,Treasury Agency 1,2015,Full-Time,Female, 311 
Treasury,Treasury Agency 2,2015,Full-Time,Female, 400 
Treasury,Treasury Agency 3,2015,Full-Time,Female, 289 
Education,Education Agency 1,2015,Full-Time,Male, 105 
Education,Education Agency 2,2015,Full-Time,Male," 2,115 "
Education,Education Agency 3,2015,Full-Time,Male, 14 
Education,Education Agency 4,2015,Full-Time,Male," 16,031 "
Family & Community Services,Family & Community Services Agency 1,2015,Full-Time,Male," 3,687 "
Family & Community Services,Family & Community Services Agency 2,2015,Full-Time,Male, 20 
Family & Community Services,Family & Community Services Agency 3,2015,Full-Time,Male, 27 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 1",2015,Full-Time,Male," 3,221 "
"Finance, Services & Innovation","Finance, Services & Innovation Agency 2",2015,Full-Time,Male, 324 
Health,Health Agency 1,2015,Full-Time,Male, 33 
Health,Health Agency 10,2015,Full-Time,Male, 18 
Health,Health Agency 11,2015,Full-Time,Male, 40 
Health,Health Agency 12,2015,Full-Time,Male, 24 
Health,Health Agency 13,2015,Full-Time,Male," 1,192 "
Health,Health Agency 14,2015,Full-Time,Male, 17 
Health,Health Agency 15,2015,Full-Time,Male, 52 
Health,Health Agency 16,2015,Full-Time,Male," 1,554 "
Health,Health Agency 17,2015,Full-Time,Male," 2,266 "
Health,Health Agency 18,2015,Full-Time,Male," 1,230 "
Health,Health Agency 19,2015,Full-Time,Male, 340 
Health,Health Agency 2,2015,Full-Time,Male, 104 
Health,Health Agency 20,2015,Full-Time,Male, 6 
Health,Health Agency 21,2015,Full-Time,Male, 710 
Health,Health Agency 22,2015,Full-Time,Male, 234 
Health,Health Agency 23,2015,Full-Time,Male, 471 
Health,Health Agency 24,2015,Full-Time,Male, 988 
Health,Health Agency 25,2015,Full-Time,Male, 872 
Health,Health Agency 26,2015,Full-Time,Male," 2,221 "
Health,Health Agency 27,2015,Full-Time,Male," 2,572 "
Health,Health Agency 28,2015,Full-Time,Male," 2,241 "
Health,Health Agency 29,2015,Full-Time,Male, 336 
Health,Health Agency 3,2015,Full-Time,Male," 3,033 "
Health,Health Agency 30,2015,Full-Time,Male, 861 
Health,Health Agency 31,2015,Full-Time,Male," 2,654 "
Health,Health Agency 32,2015,Full-Time,Male," 1,044 "
Health,Health Agency 33,2015,Full-Time,Male," 2,606 "
Health,Health Agency 4,2015,Full-Time,Male, 15 
Health,Health Agency 5,2015,Full-Time,Male, 36 
Health,Health Agency 6,2015,Full-Time,Male," 1,114 "
Health,Health Agency 7,2015,Full-Time,Male, 30 
Health,Health Agency 8,2015,Full-Time,Male, 296 
Health,Health Agency 9,2015,Full-Time,Male, 142 
Industry,Industry Agency 1,2015,Full-Time,Male," 2,502 "
Industry,Industry Agency 2,2015,Full-Time,Male, 460 
Industry,Industry Agency 3,2015,Full-Time,Male, 306 
Industry,Industry Agency 4,2015,Full-Time,Male, 44 
Industry,Industry Agency 5,2015,Full-Time,Male, 389 
Industry,Industry Agency 6,2015,Full-Time,Male, 69 
Industry,Industry Agency 7,2015,Full-Time,Male," 3,505 "
Industry,Industry Agency 8,2015,Full-Time,Male, 444 
Justice,Justice Agency 1,2015,Full-Time,Male, 102 
Justice,Justice Agency 10,2015,Full-Time,Male, 284 
Justice,Justice Agency 11,2015,Full-Time,Male, 609 
Justice,Justice Agency 12,2015,Full-Time,Male, 159 
Justice,Justice Agency 13,2015,Full-Time,Male, 50 
Justice,Justice Agency 14,2015,Full-Time,Male, 91 
Justice,Justice Agency 2,2015,Full-Time,Male, 102 
Justice,Justice Agency 3,2015,Full-Time,Male," 6,719 "
Justice,Justice Agency 4,2015,Full-Time,Male," 3,853 "
Justice,Justice Agency 5,2015,Full-Time,Male, 9 
Justice,Justice Agency 6,2015,Full-Time,Male, 283 
Justice,Justice Agency 7,2015,Full-Time,Male, 117 
Justice,Justice Agency 8,2015,Full-Time,Male, 61 
Justice,Justice Agency 9,2015,Full-Time,Male," 14,721 "
Planning & Environment,Planning & Environment Agency 1,2015,Full-Time,Male, 72 
Planning & Environment,Planning & Environment Agency 2,2015,Full-Time,Male, 310 
Planning & Environment,Planning & Environment Agency 3,2015,Full-Time,Male, 247 
Planning & Environment,Planning & Environment Agency 4,2015,Full-Time,Male, 119 
Planning & Environment,Planning & Environment Agency 5,2015,Full-Time,Male," 2,335 "
Planning & Environment,Planning & Environment Agency 6,2015,Full-Time,Male, 61 
Planning & Environment,Planning & Environment Agency 7,2015,Full-Time,Male, 228 
Planning & Environment,Planning & Environment Agency 8,2015,Full-Time,Male," 1,977 "
Premier & Cabinet,Premier & Cabinet Agency 1,2015,Full-Time,Male, 19 
Premier & Cabinet,Premier & Cabinet Agency 10,2015,Full-Time,Male, 19 
Premier & Cabinet,Premier & Cabinet Agency 11,2015,Full-Time,Male, 39 
Premier & Cabinet,Premier & Cabinet Agency 2,2015,Full-Time,Male, 186 
Premier & Cabinet,Premier & Cabinet Agency 3,2015,Full-Time,Male, 37 
Premier & Cabinet,Premier & Cabinet Agency 4,2015,Full-Time,Male, 60 
Premier & Cabinet,Premier & Cabinet Agency 5,2015,Full-Time,Male, 19 
Premier & Cabinet,Premier & Cabinet Agency 6,2015,Full-Time,Male, 8 
Premier & Cabinet,Premier & Cabinet Agency 7,2015,Full-Time,Male, 37 
Premier & Cabinet,Premier & Cabinet Agency 8,2015,Full-Time,Male, 325 
Premier & Cabinet,Premier & Cabinet Agency 9,2015,Full-Time,Male, 62 
Transport,Transport Agency 1,2015,Full-Time,Male," 1,669 "
Transport,Transport Agency 2,2015,Full-Time,Male, 284 
Transport,Transport Agency 3,2015,Full-Time,Male," 4,385 "
Transport,Transport Agency 4,2015,Full-Time,Male," 4,358 "
Transport,Transport Agency 5,2015,Full-Time,Male," 9,122 "
Transport,Transport Agency 6,2015,Full-Time,Male," 2,026 "
Treasury,Treasury Agency 1,2015,Full-Time,Male, 175 
Treasury,Treasury Agency 2,2015,Full-Time,Male, 295 
Treasury,Treasury Agency 3,2015,Full-Time,Male, 255 
Education,Education Agency 1,2015,Part-Time,Female, 38 
Education,Education Agency 2,2015,Part-Time,Female, 620 
Education,Education Agency 3,2015,Part-Time,Female," 18,852 "
Education,Education Agency 4,2015,Part-Time,Female," 17,291 "
Family & Community Services,Family & Community Services Agency 1,2015,Part-Time,Female," 5,773 "
Family & Community Services,Family & Community Services Agency 2,2015,Part-Time,Female, 8 
Family & Community Services,Family & Community Services Agency 3,2015,Part-Time,Female, 19 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 1",2015,Part-Time,Female, 580 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 2",2015,Part-Time,Female, 292 
Health,Health Agency 1,2015,Part-Time,Female, 24 
Health,Health Agency 10,2015,Part-Time,Female, 11 
Health,Health Agency 11,2015,Part-Time,Female, 21 
Health,Health Agency 12,2015,Part-Time,Female, 5 
Health,Health Agency 13,2015,Part-Time,Female," 1,239 "
Health,Health Agency 14,2015,Part-Time,Female, 5 
Health,Health Agency 15,2015,Part-Time,Female, 8 
Health,Health Agency 16,2015,Part-Time,Female," 1,766 "
Health,Health Agency 17,2015,Part-Time,Female," 5,894 "
Health,Health Agency 18,2015,Part-Time,Female," 2,162 "
Health,Health Agency 19,2015,Part-Time,Female, 327 
Health,Health Agency 2,2015,Part-Time,Female, 393 
Health,Health Agency 20,2015,Part-Time,Female, 5 
Health,Health Agency 21,2015,Part-Time,Female," 1,446 "
Health,Health Agency 22,2015,Part-Time,Female, 6 
Health,Health Agency 23,2015,Part-Time,Female," 1,450 "
Health,Health Agency 24,2015,Part-Time,Female," 1,363 "
Health,Health Agency 25,2015,Part-Time,Female," 2,187 "
Health,Health Agency 26,2015,Part-Time,Female," 2,855 "
Health,Health Agency 27,2015,Part-Time,Female," 3,017 "
Health,Health Agency 28,2015,Part-Time,Female," 2,551 "
Health,Health Agency 29,2015,Part-Time,Female," 1,113 "
Health,Health Agency 3,2015,Part-Time,Female, 171 
Health,Health Agency 30,2015,Part-Time,Female," 1,612 "
Health,Health Agency 31,2015,Part-Time,Female," 2,020 "
Health,Health Agency 32,2015,Part-Time,Female," 1,734 "
Health,Health Agency 33,2015,Part-Time,Female," 2,325 "
Health,Health Agency 4,2015,Part-Time,Female, 6 
Health,Health Agency 5,2015,Part-Time,Female, 50 
Health,Health Agency 6,2015,Part-Time,Female," 2,098 "
Health,Health Agency 7,2015,Part-Time,Female, 11 
Health,Health Agency 8,2015,Part-Time,Female, 8 
Health,Health Agency 9,2015,Part-Time,Female, 172 
Industry,Industry Agency 1,2015,Part-Time,Female, 461 
Industry,Industry Agency 2,2015,Part-Time,Female, 17 
Industry,Industry Agency 3,2015,Part-Time,Female, 55 
Industry,Industry Agency 4,2015,Part-Time,Female, 9 
Industry,Industry Agency 5,2015,Part-Time,Female, 142 
Industry,Industry Agency 6,2015,Part-Time,Female, 15 
Industry,Industry Agency 7,2015,Part-Time,Female, 961 
Industry,Industry Agency 8,2015,Part-Time,Female, 37 
Justice,Justice Agency 1,2015,Part-Time,Female, 54 
Justice,Justice Agency 10,2015,Part-Time,Female, 86 
Justice,Justice Agency 11,2015,Part-Time,Female, 54 
Justice,Justice Agency 12,2015,Part-Time,Female, 29 
Justice,Justice Agency 13,2015,Part-Time,Female, 13 
Justice,Justice Agency 14,2015,Part-Time,Female, 30 
Justice,Justice Agency 2,2015,Part-Time,Female, 74 
Justice,Justice Agency 3,2015,Part-Time,Female," 1,107 "
Justice,Justice Agency 4,2015,Part-Time,Female, 44 
Justice,Justice Agency 5,2015,Part-Time,Female, 7 
Justice,Justice Agency 6,2015,Part-Time,Female, 245 
Justice,Justice Agency 7,2015,Part-Time,Female, 51 
Justice,Justice Agency 8,2015,Part-Time,Female, 26 
Justice,Justice Agency 9,2015,Part-Time,Female," 1,770 "
Planning & Environment,Planning & Environment Agency 1,2015,Part-Time,Female, 53 
Planning & Environment,Planning & Environment Agency 2,2015,Part-Time,Female, 99 
Planning & Environment,Planning & Environment Agency 3,2015,Part-Time,Female, 90 
Planning & Environment,Planning & Environment Agency 4,2015,Part-Time,Female, 14 
Planning & Environment,Planning & Environment Agency 5,2015,Part-Time,Female, 585 
Planning & Environment,Planning & Environment Agency 6,2015,Part-Time,Female, 14 
Planning & Environment,Planning & Environment Agency 7,2015,Part-Time,Female, 80 
Planning & Environment,Planning & Environment Agency 8,2015,Part-Time,Female, 140 
Premier & Cabinet,Premier & Cabinet Agency 1,2015,Part-Time,Female, 6 
Premier & Cabinet,Premier & Cabinet Agency 10,2015,Part-Time,Female, 10 
Premier & Cabinet,Premier & Cabinet Agency 11,2015,Part-Time,Female, 18 
Premier & Cabinet,Premier & Cabinet Agency 2,2015,Part-Time,Female, 59 
Premier & Cabinet,Premier & Cabinet Agency 3,2015,Part-Time,Female, 15 
Premier & Cabinet,Premier & Cabinet Agency 4,2015,Part-Time,Female, 28 
Premier & Cabinet,Premier & Cabinet Agency 5,2015,Part-Time,Female, 10 
Premier & Cabinet,Premier & Cabinet Agency 6,2015,Part-Time,Female, 6 
Premier & Cabinet,Premier & Cabinet Agency 7,2015,Part-Time,Female, 6 
Premier & Cabinet,Premier & Cabinet Agency 8,2015,Part-Time,Female, 26 
Premier & Cabinet,Premier & Cabinet Agency 9,2015,Part-Time,Female, 46 
Transport,Transport Agency 1,2015,Part-Time,Female, 107 
Transport,Transport Agency 2,2015,Part-Time,Female, 20 
Transport,Transport Agency 3,2015,Part-Time,Female, 983 
Transport,Transport Agency 4,2015,Part-Time,Female, 73 
Transport,Transport Agency 5,2015,Part-Time,Female, 205 
Transport,Transport Agency 6,2015,Part-Time,Female, 160 
Treasury,Treasury Agency 1,2015,Part-Time,Female, 49 
Treasury,Treasury Agency 2,2015,Part-Time,Female, 182 
Treasury,Treasury Agency 3,2015,Part-Time,Female, 44 
Education,Education Agency 1,2015,Part-Time,Male, 6 
Education,Education Agency 2,2015,Part-Time,Male," 1,670 "
Education,Education Agency 3,2015,Part-Time,Male," 1,250 "
Education,Education Agency 4,2015,Part-Time,Male," 2,233 "
Family & Community Services,Family & Community Services Agency 1,2015,Part-Time,Male," 1,017 "
Family & Community Services,Family & Community Services Agency 2,2015,Part-Time,Male, 6 
Family & Community Services,Family & Community Services Agency 3,2015,Part-Time,Male, 5 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 1",2015,Part-Time,Male, 112 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 2",2015,Part-Time,Male, 60 
Health,Health Agency 1,2015,Part-Time,Male, 6 
Health,Health Agency 10,2015,Part-Time,Male, 6 
Health,Health Agency 11,2015,Part-Time,Male, 9 
Health,Health Agency 12,2015,Part-Time,Male, 5 
Health,Health Agency 13,2015,Part-Time,Male, 202 
Health,Health Agency 14,2015,Part-Time,Male, 5 
Health,Health Agency 15,2015,Part-Time,Male, 6 
Health,Health Agency 16,2015,Part-Time,Male, 327 
Health,Health Agency 17,2015,Part-Time,Male, 591 
Health,Health Agency 18,2015,Part-Time,Male, 247 
Health,Health Agency 19,2015,Part-Time,Male, 81 
Health,Health Agency 2,2015,Part-Time,Male, 28 
Health,Health Agency 20,2015,Part-Time,Male, 5 
Health,Health Agency 21,2015,Part-Time,Male, 266 
Health,Health Agency 22,2015,Part-Time,Male, 5 
Health,Health Agency 23,2015,Part-Time,Male, 85 
Health,Health Agency 24,2015,Part-Time,Male, 180 
Health,Health Agency 25,2015,Part-Time,Male, 359 
Health,Health Agency 26,2015,Part-Time,Male, 547 
Health,Health Agency 27,2015,Part-Time,Male, 524 
Health,Health Agency 28,2015,Part-Time,Male, 434 
Health,Health Agency 29,2015,Part-Time,Male, 115 
Health,Health Agency 3,2015,Part-Time,Male, 102 
Health,Health Agency 30,2015,Part-Time,Male, 239 
Health,Health Agency 31,2015,Part-Time,Male, 405 
Health,Health Agency 32,2015,Part-Time,Male, 142 
Health,Health Agency 33,2015,Part-Time,Male, 400 
Health,Health Agency 4,2015,Part-Time,Male, 6 
Health,Health Agency 5,2015,Part-Time,Male, 6 
Health,Health Agency 6,2015,Part-Time,Male, 273 
Health,Health Agency 7,2015,Part-Time,Male, 6 
Health,Health Agency 8,2015,Part-Time,Male, 6 
Health,Health Agency 9,2015,Part-Time,Male, 14 
Industry,Industry Agency 1,2015,Part-Time,Male, 74 
Industry,Industry Agency 2,2015,Part-Time,Male, 7 
Industry,Industry Agency 3,2015,Part-Time,Male, 9 
Industry,Industry Agency 4,2015,Part-Time,Male, 6 
Industry,Industry Agency 5,2015,Part-Time,Male, 25 
Industry,Industry Agency 6,2015,Part-Time,Male, 9 
Industry,Industry Agency 7,2015,Part-Time,Male, 240 
Industry,Industry Agency 8,2015,Part-Time,Male, 6 
Justice,Justice Agency 1,2015,Part-Time,Male, 13 
Justice,Justice Agency 10,2015,Part-Time,Male, 6 
Justice,Justice Agency 11,2015,Part-Time,Male, 6 
Justice,Justice Agency 12,2015,Part-Time,Male, 9 
Justice,Justice Agency 13,2015,Part-Time,Male, 6 
Justice,Justice Agency 14,2015,Part-Time,Male, 6 
Justice,Justice Agency 2,2015,Part-Time,Male, 6 
Justice,Justice Agency 3,2015,Part-Time,Male, 197 
Justice,Justice Agency 4,2015,Part-Time,Male, 17 
Justice,Justice Agency 5,2015,Part-Time,Male, 5 
Justice,Justice Agency 6,2015,Part-Time,Male, 26 
Justice,Justice Agency 7,2015,Part-Time,Male, 9 
Justice,Justice Agency 8,2015,Part-Time,Male, 6 
Justice,Justice Agency 9,2015,Part-Time,Male, 106 
Planning & Environment,Planning & Environment Agency 1,2015,Part-Time,Male, 18 
Planning & Environment,Planning & Environment Agency 2,2015,Part-Time,Male, 15 
Planning & Environment,Planning & Environment Agency 3,2015,Part-Time,Male, 16 
Planning & Environment,Planning & Environment Agency 4,2015,Part-Time,Male, 6 
Planning & Environment,Planning & Environment Agency 5,2015,Part-Time,Male, 125 
Planning & Environment,Planning & Environment Agency 6,2015,Part-Time,Male, 11 
Planning & Environment,Planning & Environment Agency 7,2015,Part-Time,Male, 69 
Planning & Environment,Planning & Environment Agency 8,2015,Part-Time,Male, 19 
Premier & Cabinet,Premier & Cabinet Agency 1,2015,Part-Time,Male, 5 
Premier & Cabinet,Premier & Cabinet Agency 10,2015,Part-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 11,2015,Part-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 2,2015,Part-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 3,2015,Part-Time,Male, 5 
Premier & Cabinet,Premier & Cabinet Agency 4,2015,Part-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 5,2015,Part-Time,Male, 10 
Premier & Cabinet,Premier & Cabinet Agency 6,2015,Part-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 7,2015,Part-Time,Male, 5 
Premier & Cabinet,Premier & Cabinet Agency 8,2015,Part-Time,Male, 6 
Premier & Cabinet,Premier & Cabinet Agency 9,2015,Part-Time,Male, 6 
Transport,Transport Agency 1,2015,Part-Time,Male, 51 
Transport,Transport Agency 2,2015,Part-Time,Male, 6 
Transport,Transport Agency 3,2015,Part-Time,Male, 472 
Transport,Transport Agency 4,2015,Part-Time,Male, 415 
Transport,Transport Agency 5,2015,Part-Time,Male, 187 
Transport,Transport Agency 6,2015,Part-Time,Male, 14 
Treasury,Treasury Agency 1,2015,Part-Time,Male, 6 
Treasury,Treasury Agency 2,2015,Part-Time,Male, 14 
Treasury,Treasury Agency 3,2015,Part-Time,Male, 6 
Education,Education Agency 1,2016,Full-Time,Female, 212 
Education,Education Agency 2,2016,Full-Time,Female," 2,020 "
Education,Education Agency 3,2016,Full-Time,Female, 18 
Education,Education Agency 4,2016,Full-Time,Female," 40,218 "
Family & Community Services,Family & Community Services Agency 1,2016,Full-Time,Female," 8,828 "
Family & Community Services,Family & Community Services Agency 2,2016,Full-Time,Female, 40 
Family & Community Services,Family & Community Services Agency 3,2016,Full-Time,Female, 79 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 1",2016,Full-Time,Female," 2,893 "
"Finance, Services & Innovation","Finance, Services & Innovation Agency 2",2016,Full-Time,Female, 906 
Health,Health Agency 1,2016,Full-Time,Female, 95 
Health,Health Agency 10,2016,Full-Time,Female, 65 
Health,Health Agency 11,2016,Full-Time,Female, 104 
Health,Health Agency 12,2016,Full-Time,Female, 21 
Health,Health Agency 13,2016,Full-Time,Female," 2,368 "
Health,Health Agency 14,2016,Full-Time,Female, 81 
Health,Health Agency 15,2016,Full-Time,Female, 132 
Health,Health Agency 16,2016,Full-Time,Female," 2,940 "
Health,Health Agency 17,2016,Full-Time,Female," 6,053 "
Health,Health Agency 18,2016,Full-Time,Female," 2,871 "
Health,Health Agency 19,2016,Full-Time,Female, 775 
Health,Health Agency 2,2016,Full-Time,Female, 311 
Health,Health Agency 20,2016,Full-Time,Female, 20 
Health,Health Agency 21,2016,Full-Time,Female," 1,510 "
Health,Health Agency 22,2016,Full-Time,Female, 490 
Health,Health Agency 23,2016,Full-Time,Female," 1,540 "
Health,Health Agency 24,2016,Full-Time,Female," 2,606 "
Health,Health Agency 25,2016,Full-Time,Female," 1,553 "
Health,Health Agency 26,2016,Full-Time,Female," 5,327 "
Health,Health Agency 27,2016,Full-Time,Female," 6,284 "
Health,Health Agency 28,2016,Full-Time,Female," 6,310 "
Health,Health Agency 29,2016,Full-Time,Female, 960 
Health,Health Agency 3,2016,Full-Time,Female," 1,762 "
Health,Health Agency 30,2016,Full-Time,Female," 2,932 "
Health,Health Agency 31,2016,Full-Time,Female," 5,872 "
Health,Health Agency 32,2016,Full-Time,Female," 2,791 "
Health,Health Agency 33,2016,Full-Time,Female," 6,771 "
Health,Health Agency 4,2016,Full-Time,Female, 27 
Health,Health Agency 5,2016,Full-Time,Female, 154 
Health,Health Agency 6,2016,Full-Time,Female," 2,660 "
Health,Health Agency 7,2016,Full-Time,Female, 62 
Health,Health Agency 8,2016,Full-Time,Female, 198 
Health,Health Agency 9,2016,Full-Time,Female, 428 
Industry,Industry Agency 1,2016,Full-Time,Female," 1,862 "
Industry,Industry Agency 2,2016,Full-Time,Female, 125 
Industry,Industry Agency 3,2016,Full-Time,Female, 81 
Industry,Industry Agency 4,2016,Full-Time,Female, 29 
Industry,Industry Agency 5,2016,Full-Time,Female, 306 
Industry,Industry Agency 6,2016,Full-Time,Female, 33 
Industry,Industry Agency 7,2016,Full-Time,Female," 4,703 "
Industry,Industry Agency 8,2016,Full-Time,Female, 131 
Justice,Justice Agency 1,2016,Full-Time,Female, 77 
Justice,Justice Agency 10,2016,Full-Time,Female, 409 
Justice,Justice Agency 11,2016,Full-Time,Female, 282 
Justice,Justice Agency 12,2016,Full-Time,Female, 173 
Justice,Justice Agency 13,2016,Full-Time,Female, 37 
Justice,Justice Agency 14,2016,Full-Time,Female, 113 
Justice,Justice Agency 2,2016,Full-Time,Female, 317 
Justice,Justice Agency 3,2016,Full-Time,Female," 6,376 "
Justice,Justice Agency 4,2016,Full-Time,Female, 482 
Justice,Justice Agency 5,2016,Full-Time,Female, 21 
Justice,Justice Agency 6,2016,Full-Time,Female, 681 
Justice,Justice Agency 7,2016,Full-Time,Female, 184 
Justice,Justice Agency 8,2016,Full-Time,Female, 61 
Justice,Justice Agency 9,2016,Full-Time,Female," 6,067 "
Planning & Environment,Planning & Environment Agency 1,2016,Full-Time,Female, 99 
Planning & Environment,Planning & Environment Agency 2,2016,Full-Time,Female, 288 
Planning & Environment,Planning & Environment Agency 3,2016,Full-Time,Female, 224 
Planning & Environment,Planning & Environment Agency 4,2016,Full-Time,Female, 123 
Planning & Environment,Planning & Environment Agency 5,2016,Full-Time,Female," 1,457 "
Planning & Environment,Planning & Environment Agency 6,2016,Full-Time,Female, 51 
Planning & Environment,Planning & Environment Agency 7,2016,Full-Time,Female, 193 
Planning & Environment,Planning & Environment Agency 8,2016,Full-Time,Female, 747 
Premier & Cabinet,Premier & Cabinet Agency 1,2016,Full-Time,Female, 15 
Premier & Cabinet,Premier & Cabinet Agency 10,2016,Full-Time,Female, 30 
Premier & Cabinet,Premier & Cabinet Agency 11,2016,Full-Time,Female, 86 
Premier & Cabinet,Premier & Cabinet Agency 2,2016,Full-Time,Female, 354 
Premier & Cabinet,Premier & Cabinet Agency 3,2016,Full-Time,Female, 109 
Premier & Cabinet,Premier & Cabinet Agency 4,2016,Full-Time,Female, 60 
Premier & Cabinet,Premier & Cabinet Agency 5,2016,Full-Time,Female, 25 
Premier & Cabinet,Premier & Cabinet Agency 6,2016,Full-Time,Female, 9 
Premier & Cabinet,Premier & Cabinet Agency 7,2016,Full-Time,Female, 43 
Premier & Cabinet,Premier & Cabinet Agency 8,2016,Full-Time,Female, 270 
Premier & Cabinet,Premier & Cabinet Agency 9,2016,Full-Time,Female, 156 
Transport,Transport Agency 1,2016,Full-Time,Female, 438 
Transport,Transport Agency 2,2016,Full-Time,Female, 53 
Transport,Transport Agency 3,2016,Full-Time,Female," 1,312 "
Transport,Transport Agency 4,2016,Full-Time,Female, 332 
Transport,Transport Agency 5,2016,Full-Time,Female," 1,726 "
Transport,Transport Agency 6,2016,Full-Time,Female," 1,512 "
Treasury,Treasury Agency 1,2016,Full-Time,Female, 311 
Treasury,Treasury Agency 2,2016,Full-Time,Female, 378 
Treasury,Treasury Agency 3,2016,Full-Time,Female, 251 
Education,Education Agency 1,2016,Full-Time,Male, 110 
Education,Education Agency 2,2016,Full-Time,Male," 2,118 "
Education,Education Agency 3,2016,Full-Time,Male, 10 
Education,Education Agency 4,2016,Full-Time,Male," 16,012 "
Family & Community Services,Family & Community Services Agency 1,2016,Full-Time,Male," 3,295 "
Family & Community Services,Family & Community Services Agency 2,2016,Full-Time,Male, 17 
Family & Community Services,Family & Community Services Agency 3,2016,Full-Time,Male, 32 
"Finance, Services & Innovation","Finance, Services & Innovation Agency 1",2016,Full-Time,Male," 2,790 "
"Finance, Services & Innovation","Finance, Services & Innovation Agency 2",2016,Full-Time,Male, 510 
Health,Health Agency 1,2016,Full-Time,Male, 32 
Health,Health Agency 10,2016,Full-Time,Male, 19 
Health,Health Agency 11,2016,Full-Time,Male, 36 
Health,Health Agency 12,2016,Full-Time,Male, 26 
Health,Health Agency 13,2016,Full-Time,Male," 1,229 "
Health,Health Agency 14,2016,Full-Time,Male, 17 
Health,Health Agency 15,2016,Full-Time,Male, 62 
Health,Health Agency 16,2016,Full-Time,Male," 1,705 "
Health,Health Agency 17,2016,Full-Time,Male," 2,235 "
Health,Health Agency 18,2016,Full-Time,Male," 1,230 "
Health,Health Agency 19,2016,Full-Time,Male, 343 
Health,Health Agency 2,2016,Full-Time,Male, 102 
Health,Health Agency 20,2016,Full-Time,Male, 6 
Health,Health Agency 21,2016,Full-Time,Male, 695 
Health,Health Agency 22,2016,Full-Time,Male, 233 
Health,Health Agency 23,2016,Full-Time,Male, 472 
Health,Health Agency 24,2016,Full-Time,Male," 1,032 "
Health,Health Agency 25,2016,Full-Time,Male, 819 
Health,Health Agency 26,2016,Full-Time,Male," 2,364 "
Health,Health Agency 27,2016,Full-Time,Male," 2,650 "
Health,Health Agency 28,2016,Full-Time,Male," 2,282 "
Health,Health Agency 29,2016,Full-Time,Male, 361 
Health,Health Agency 3,2016,Full-Time,Male," 3,047 "
Health,Health Agency 30,2016,Full-Time,Male, 878 
Health,Health Agency 31,2016,Full-Time,Male," 2,747 "
Health,Health Agency 32,2016,Full-Time,Male, 997 
Health,Health Agency 33,2016,Full-Time,Male," 2,765 "
Health,Health Agency 4,2016,Full-Time,Male, 11 
Health,Health Agency 5,2016,Full-Time,Male, 41 
Health,Health Agency 6,2016,Full-Time,Male," 1,117 "
Health,Health Agency 7,2016,Full-Time,Male, 29 
Health,Health Agency 8,2016,Full-Time,Male, 335 
Health,Health Agency 9,2016,Full-Time,Male, 146 
Industry,Industry Agency 1,2016,Full-Time,Male," 2,438 "
Industry,Industry Agency 2,2016,Full-Time,Male, 527 
Industry,Industry Agency 3,2016,Full-Time,Male, 304 
Industry,Industry Agency 4,2016,Full-Time,Male, 44 
Industry,Industry Agency 5,2016,Full-Time,Male, 389 
Industry,Industry Agency 6,2016,Full-Time,Male, 71 
Industry,Industry Agency 7,2016,Full-Time,Male," 3,265 "
Industry,Industry Agency 8,2016,Full-Time,Male, 405 
Justice,Justice Agency 1,2016,Full-Time,Male, 68 
Justice,Justice Agency 10,2016,Full-Time,Male, 295 
Justice,Justice Agency 11,2016,Full-Time,Male, 630 
Justice,Justice Agency 12,2016,Full-Time,Male, 182 
Justice,Justice Agency 13,2016,Full-Time,Male, 51 
Justice,Justice Agency 14,2016,Full-Time,Male, 97 
Justice,Justice Agency 2,2016,Full-Time,Male, 114 
Justice,Justice Agency 3,2016,Full-Time,Male," 6,792 "
Justice,Justice Agency 4,2016,Full-Time,Male," 3,903 "
Justice,Justice Agency 5,2016,Full-Time,Male, 13 
